Epic Name,Issue Type,Summary,Description,Story Points,Priority,Labels,Components,Sprint Target
EXEQ-FISC-E07,Story,EXEQ-FISC-074 Historico Processamentos Central Erros,"Filtros competencia status erro codigos SERPRO traduzidos acao sugerida.",8,High,fase-1-mvp,frontend,S8
EXEQ-FISC-E07,Story,EXEQ-FISC-075 Gestao Certificados refator ConfigFiscal,"Lista certs badges expiracao upload PEM rota fiscal/certificados.",5,High,"refactor reuse",frontend,S8
EXEQ-FISC-E07,Story,EXEQ-FISC-076 Gestao Procuracoes diagnostico SERPRO,"Botao validar SERPRO semaforo verde amarelo vermelho.",5,High,fase-1-mvp,frontend,S8
EXEQ-FISC-E07,Story,EXEQ-FISC-077 Tela Configuracao SERPRO,"Form demo prod contratante admin only.",5,High,fase-1-mvp,frontend,S8
EXEQ-FISC-E07,Story,EXEQ-FISC-078 Download DAS extensao GuiaFiscalDetalhe,"Link processamento guia PDF mobile friendly.",3,High,reuse,frontend,S8
EXEQ-FISC-E07,Story,EXEQ-FISC-079 Gestao Empresas extensao ClientesPage,"Indicadores fiscal cert procuracao ultimo processamento atalho nova apuracao.",5,Medium,reuse,frontend,S8
EXEQ-FISC-E07,Story,EXEQ-FISC-080 Auditoria fiscal admin,"GET fiscal/audit paginado tela read-only filtros.",5,Low,fase-1-mvp,"frontend backend",S8
EXEQ-FISC-E08,Story,EXEQ-FISC-090 Script E2E homolog SERPRO demo,"scripts/fiscal-serpro-homolog-e2e.ts evidencia docs/evidencias fluxo completo demo.",8,Highest,fase-1-mvp,"qa backend",S9
EXEQ-FISC-E08,Story,EXEQ-FISC-091 Testes integracao cross-tenant processamento,"tests/fiscal-serpro/cross-tenant CI verde.",5,High,fase-1-mvp,"qa backend",S9
EXEQ-FISC-E08,Story,EXEQ-FISC-092 Playwright E2E portal fiscal,"Upload stepper download mock CI job opcional.",8,High,fase-1-mvp,"qa frontend",S9
EXEQ-FISC-E08,Story,EXEQ-FISC-093 DevOps secrets SERPRO CI job fiscal,"env.example check-prod-env GitHub Actions fixtures runbook feature flag.",5,High,fase-1-mvp,devops,S9
EXEQ-FISC-E08,Story,EXEQ-FISC-094 Observabilidade SLI fiscal,"Metricas fila p95 transmit taxa erro doc sli-fiscal-definitions.",5,Medium,fase-1-mvp,"devops backend",S10
EXEQ-FISC-E08,Story,EXEQ-FISC-095 Hardening seguranca checklist go-live,"Rate limits rollback flag checklist assinado PO Tech.",5,High,"security fase-1-mvp","architecture devops qa",S10
EXEQ-FISC-E08,Task,EXEQ-FISC-096 Gestao projeto marcos riscos continuo,"Dashboard Jira riscos R1-R8 retros S0-S10.",13,Medium,fase-1-mvp,pm,S0-S10
EXEQ-FISC-E09,Story,EXEQ-FISC-100 Fase2 WebhookIngestionAdapter ERP,"Receber apuracao ERP webhook autenticado.",8,Medium,fase-2-erp,backend,Fase2
EXEQ-FISC-E09,Story,EXEQ-FISC-101 Fase2 RestIngestionAdapter API parceiro,"OpenAPI ingestao REST documentada.",8,Medium,fase-2-erp,backend,Fase2
EXEQ-FISC-E09,Story,EXEQ-FISC-102 Fase2 Auth API key por organizacao,"Rate limit credenciais portal.",5,Medium,fase-2-erp,backend,Fase2
EXEQ-FISC-E09,Story,EXEQ-FISC-103 Fase2 Portal credenciais API webhook logs,"UI admin integracoes.",5,Low,fase-2-erp,frontend,Fase2
EXEQ-FISC-E09,Story,EXEQ-FISC-104 Fase2 Testes contrato sandbox ERP mock,"CI contrato adapters.",5,Medium,fase-2-erp,qa,Fase2
EXEQ-FISC-E10,Story,EXEQ-FISC-110 Fase3 Cliente DCTFWeb TRANSDECLARACAO310,"Integracao SERPRO DCTFWeb transmissao.",13,Medium,fase-3-dctfweb,backend,Fase3
EXEQ-FISC-E10,Story,EXEQ-FISC-111 Fase3 Consulta recibo CONSRECIBO32,"Recibo declaracao DCTFWeb.",8,Medium,fase-3-dctfweb,backend,Fase3
EXEQ-FISC-E10,Story,EXEQ-FISC-112 Fase3 Emissao guia GERARGUIA31 DARF MAED,"Guia declaracao DCTFWeb.",13,Medium,fase-3-dctfweb,backend,Fase3
EXEQ-FISC-E10,Story,EXEQ-FISC-113 Fase3 Modelo canonico DCTF validacao,"Schema DCTF extensao ingestion.",8,Medium,fase-3-dctfweb,backend,Fase3
EXEQ-FISC-E10,Story,EXEQ-FISC-114 Fase3 Portal fluxo DCTFWeb UX,"Telas regime LP LR.",13,Medium,fase-3-dctfweb,frontend,Fase3
EXEQ-FISC-E10,Story,EXEQ-FISC-115 Fase3 Homolog E2E DCTFWeb,"Script evidencias homolog.",8,Medium,fase-3-dctfweb,qa,Fase3
EXEQ-FISC-E11,Story,EXEQ-FISC-120 Fase4 Billing franquia parceiro por org,"Modelo comercial multi org billing.",8,Low,fase-4-future,backend,Fase4
EXEQ-FISC-E11,Story,EXEQ-FISC-121 Fase4 MIT apuracao ENCAPURACAO314,"Integracao MIT SERPRO.",13,Low,fase-4-future,backend,Fase4
EXEQ-FISC-E11,Story,EXEQ-FISC-122 Fase4 Parcelamentos SN PARCSN,"Emissao DAS parcelamento.",8,Low,fase-4-future,backend,Fase4
EXEQ-FISC-E11,Story,EXEQ-FISC-123 Fase4 Analytics fiscal dashboard avancado,"BI processamentos erros receita.",8,Low,fase-4-future,frontend,Fase4
EXEQ-FISC-E11,Story,EXEQ-FISC-124 Fase4 Workers fiscal servico separado scale,"Extrair BullMQ fiscal microservico.",8,Low,fase-4-future,devops,Fase4
